Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Normalised Votes
#Gadhvi (He thought he was Gandhi),2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,0.025974025974025976
#Yaaram,2019,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,0.11363636363636363
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,3.8465116279069766
...Yahaan,2005,142,"Drama, Romance, War",7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,2.2531120331950207
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,0.8489583333333334
@Andheri,2014,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,0.02925531914893617
1:1.6 An Ode to Lost Love,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,0.050595238095238096
1:13:7 Ek Tera Saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,0.14640198511166252
100 Days,1991,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,13.943262411347519
100% Love,2012,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,1.3333333333333333
102 Not Out,2018,102,"Comedy, Drama",7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,25.60541586073501
10ml LOVE,2010,87,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,0.28421052631578947
12 O'Clock,1958,132,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,2.1176470588235294
12 O'Clock,2021,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,0.15403422982885084
127 B,2017,116,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,0.1897810218978102
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,17.778089887640448
15 Park Avenue,2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,2.078838174273859
15th August,1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,0.08522727272727272
16 December,2002,158,"Action, Thriller",6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,2.7784026996625424
18.11,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,0.026595744680851064
19 Revolutions,2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,0.047619047619047616
1920,2008,138,"Horror, Mystery, Romance",6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,4.747320061255743
1920 London,2016,120,"Horror, Mystery",4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,3.86848635235732
1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,4.716145833333333
1921,2018,144,"Horror, Mystery, Romance",4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,4.1353965183752415
1942: A Love Story,1994,157,"Action, Drama, History",7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,13.457202505219207
1971,2007,136,"Action, Drama, War",8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,3.2122241086587437
1978: A Teen Night Out,2019,107,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,0.06493506493506493
1982 - A Love Marriage,2017,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,0.7737226277372263
2 Nights in Soul Valley,2012,80,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,0.0546875
2 October,2003,122,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,0.09282700421940929
2 States,2014,149,"Comedy, Drama, Romance",6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,63.920212765957444
2.0,2018,148,"Action, Sci-Fi",6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,84.86653771760155
2001: Do Hazaar Ek,1998,149,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,0.4132841328413284
2016 the End,2017,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,0.6861313868613139
22 Days,2018,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,0.030947775628626693
22 June 1897,1979,121,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,1.0196078431372548
22 Yards,2019,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,1.172077922077922
23rd March 1931: Shaheed,2002,188,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,1.4443194600674916
27 Down,1974,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,3.3162393162393164
3 AM: A Paranormal Experience,2014,103,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,1.3670212765957446
3 Bachelors,2012,114,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,0.4296875
3 Deewarein,2003,115,"Crime, Drama",7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,6.531645569620253
3 Dev,2019,122,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,0.11363636363636363
3 Idiots,2009,170,"Comedy, Drama",8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,1005.306179775281
3 Storeys,2018,100,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,1.3849129593810445
3.0 Megapixel,2015,99,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,0.0297029702970297
31st October,2015,109,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,1.1782178217821782
36 China Town,2006,140,"Comedy, Mystery, Thriller",5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,8.29004739336493
36 Chowringhee Lane,1981,122,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,7.0
376 D,2020,128,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,0.402555910543131
377 AbNormal,2019,93,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,0.30194805194805197
3D Saamri,1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,1.4814814814814814
3G: A Killer Connection,2013,125,"Horror, Sci-Fi, Thriller",3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,1.9859154929577465
3rd EYE,2019,145,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,0.01948051948051948
404: Error Not Found,2011,121,"Drama, Mystery, Thriller",7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,7.137254901960785
417 Miles,2016,75,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,0.022332506203473945
498A-The Wedding Gift,2012,113,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,0.0546875
5 Ghantey Mien 5 Crore,2012,111,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,0.1953125
5 Rifles,1974,134,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,0.6153846153846154
5ters: Castle of Dark Master,2011,110,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan,0.05322128851540616
6-5=2,2014,104,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,0.45478723404255317
68 Pages,2007,92,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,0.05263157894736842
7 1/2 Phere: More Than a Wedding,2005,136,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,0.58298755186722
7 Bijliyaan,1988,126,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,0.09333333333333334
7 Hours to Go,2016,115,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,0.9875930521091811
7 Islands and a Metro,2006,100,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,0.018957345971563982
7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,15.798319327731093
7 Saal Baad,1987,127,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,0.6666666666666666
706,2019,120,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,1.4577922077922079
72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,0.8084415584415584
8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,15.334269662921349
8119 Miles,2021,115,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,0.05134474327628362
88 Antop Hill,2003,119,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,0.18565400843881857
9 O' Clock,2017,124,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,0.06569343065693431
99,2009,135,"Comedy, Crime, Drama",7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,7.772471910112359
99 Songs,2019,128,"Musical, Romance",7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,6.172077922077922
99.9 FM,2005,90,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,0.07883817427385892
A Billion Colour Story,2016,105,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,1.022332506203474
A Daughter's Tale PANKH,2017,145,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,0.072992700729927
A Death in the Gunj,2016,110,"Drama, Thriller",7.5,4637,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,11.50620347394541
A Film by Aravind,2005,150,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,0.37136929460580914
A Flat,2010,103,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,0.3543859649122807
A Flying Jatt,2016,151,"Action, Adventure, Comedy",3.0,4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,10.285359801488834
A Game Called Relationship,2020,109,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,0.28913738019169327
A Gentleman,2017,145,"Action, Comedy",6.2,5227,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,38.153284671532845
A Gift of Love: Sifar,2019,95,"Drama, Romance",8.0,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,0.10714285714285714
A Journey of Samyak Buddha,2013,127,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,0.02992957746478873
A New Love Ishtory,2013,140,Romance,6.0,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,0.14084507042253522
A Scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,0.3523573200992556
A Sublime Love Story: Barsaat,2005,143,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,1.3008298755186722
A Thin Line,2019,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,0.07792207792207792
A Wednesday,2008,104,"Action, Crime, Drama",8.1,75118,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,115.03522205206738
Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",5.5,1621,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,3.98769987699877
AA BB KK,2018,121,Drama,8.0,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,0.9632495164410058
Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,2.432584269662921
Aa Gale Lag Jaa,1973,148,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,4.3229813664596275
Aa Gale Lag Jaa,1994,158,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,0.4801670146137787
Aa Gaya Hero,2017,123,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,2.4744525547445257
Aa Jao Please,2016,120,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,0.03970223325062035
Aabra Ka Daabra,2004,144,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,0.7857142857142857
Aabroo,1968,170,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman,0.47191011235955055
Aadamkhor,2018,72,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,0.5802707930367504
Aadat Se Majboor,1982,105,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri,0.4
Aadha Din Aadhee Raat,1977,132,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi,0.2903225806451613
Aadhaar,2019,107,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav,0.22402597402597402
Aadharshila,1982,154,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta,0.2714285714285714
Aadhi Bhagavan,2013,157,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran,1.0
Aadhi Raat,1950,115,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur,0.3
Aadmi,1968,175,"Drama, Romance",6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar,4.404494382022472
Aadmi,1993,153,"Action, Crime, Drama",6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun,0.5511363636363636
Aadmi Aur Apsara,1991,142,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri,0.9361702127659575
Aadmi Aur Insaan,1969,168,"Drama, Romance, Thriller",6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan,3.5476190476190474
Aadmi Khilona Hai,1993,158,"Drama, Romance",5.0,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda,0.8068181818181818
Aadmi Ki Aurat Aur Anya Kahaniya,2009,78,Drama,7.6,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi,0.17415730337078653
Aadmi Sadak Ka,1977,138,"Drama, Family",5.4,34,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera,0.5483870967741935
Aadupuliyattam,2016,145,Horror,4.2,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri,0.6600496277915633
Aafat,1977,148,"Crime, Drama",5.3,17,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.,0.27419354838709675
Aag,1948,138,"Musical, Romance",7.4,357,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana,9.153846153846153
Aag,1994,139,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre,0.9478079331941545
Aag Aur Chingari,1994,133,Action,4.1,13,Kanti Shah,Alpana,Aparajita,Asrani,0.054279749478079335
Aag Hi Aag,1987,170,Action,5.3,93,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee,1.8235294117647058
Aag Ka Gola,1990,180,"Action, Drama",4.8,101,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh,1.2317073170731707
Aag Ka Toofaan,1993,137,Action,4.8,21,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani,0.11931818181818182
Aag Ke Sholay,1988,138,"Action, Thriller",3.4,7,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi,0.09333333333333334
Aag Se Khelenge,1989,151,Action,5.0,52,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor,0.8524590163934426
Aage Maut Peeche Maut,2001,78,Horror,3.1,7,A.T. Joy,Lekha Pande,Vimal Raj,Shakila,0.022082018927444796
Aagey Se Right,2009,117,"Comedy, Crime, Drama",5.0,381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra,1.0702247191011236
Aaghaaz,2000,153,"Action, Crime, Drama",4.2,274,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar,0.9513888888888888
Aah,1953,150,"Drama, Musical, Romance",7.2,275,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi,7.534246575342466
Aahuti,1978,135,"Action, Drama",6.0,25,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan,0.5
Aaina,1993,149,"Drama, Romance",6.0,448,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh,2.5454545454545454
Aaina,1977,150,Drama,6.8,94,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal,1.5161290322580645
Aaj,1987,116,Drama,5.5,281,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran,5.509803921568627
Aaj Aur Kal,1963,144,"Drama, Romance",5.6,52,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda,1.2682926829268293
Aaj Ka Andha Kanoon,2003,46,Action,3.1,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali,0.04219409282700422
Aaj Ka Arjun,1990,164,"Action, Crime, Drama",4.7,586,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar,7.146341463414634
Aaj Ka Daur,1985,153,"Action, Drama",5.1,40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy,0.7407407407407407
Aaj Ka Goonda Raaj,1992,147,"Action, Thriller",5.3,144,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar,1.3031674208144797
Aaj Ka Mahaatma,1976,170,"Action, Romance",3.5,23,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet,0.4791666666666667
Aaj Ka Ravan,2000,128,"Action, Crime",4.3,31,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan,0.1076388888888889
Aaj Ka Samson,1991,123,"Action, Romance",3.1,14,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor,0.19858156028368795
Aaj Kaa M.L.A. Ram Avtar,1984,157,"Action, Drama",5.8,65,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma,1.4772727272727273
Aaj Ke Angaarey,1988,128,"Action, Drama",5.0,26,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh,0.3466666666666667
Aaj Ke Shahenshah,1990,132,Action,3.3,15,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday,0.18292682926829268
Aaj Ki Awaz,1984,137,"Action, Drama, Crime",5.6,79,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan,1.7954545454545454
Aaja Meri Jaan,1993,162,Romance,4.4,30,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor,0.17045454545454544
Aaja Nachle,2007,137,"Drama, Family, Music",6.2,2998,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav,5.089983022071308
Aaja Sanam,1968,121,"Drama, Romance",6.7,14,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma,0.3146067415730337
Aakhree Raasta,1986,164,"Action, Crime, Drama",7.1,1283,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada,23.327272727272728
Aakhri Adaalat,1988,148,"Action, Thriller",5.2,78,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff,1.04
Aakhri Baazi,1989,149,"Action, Drama, Family",4.1,53,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda,0.8688524590163934
Aakhri Badla,1989,120,"Action, Crime, Drama",5.0,21,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya,0.3442622950819672
Aakhri Ghulam,1989,171,"Action, Crime, Drama",4.9,34,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher,0.5573770491803278
Aakhri Kasam,1979,126,"Action, Thriller",6.3,7,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali,0.13725490196078433
Aakhri Khat,1966,153,Drama,6.9,122,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty,2.8705882352941177
Aakhri Sangam,1990,160,"Action, Romance",7.3,39,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian,0.47560975609756095
Aakhri Sanghursh,1997,138,Action,2.8,17,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna,0.07906976744186046
Aakraman,1975,139,"Drama, History, Romance",6.3,44,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan,0.7857142857142857
Aakrosh,1980,144,"Crime, Drama, Music",7.9,887,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri,20.15909090909091
Aakrosh,2010,115,"Action, Crime, Thriller",7.0,3464,Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu,6.077192982456141
Aalaap,2012,116,Sci-Fi,5.4,26,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit,0.06770833333333333
Aalavandhan,2001,177,"Action, Thriller",7.2,2192,Suresh Krishna,Kamal Haasan,Raveena Tandon,Manisha Koirala,6.914826498422713
Aalwar,2007,152,Action,3.0,922,Chella,Ajith Kumar,Asin Thottumkal,Vivek,1.565365025466893
Aamaar Bhuvan,2018,107,"Drama, Family",7.7,72,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen,0.27852998065764023
Aamdani Atthanni Kharcha Rupaiya,2001,150,"Comedy, Drama, Family",4.8,1238,K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla,3.9053627760252367
Aamir,2008,99,"Action, Crime, Drama",7.7,10862,Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala,16.633996937212864
Aamne - Saamne,1967,163,"Crime, Mystery, Romance",6.5,81,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra,1.62
Aamne Samne,1982,143,"Action, Crime, Drama",6.4,53,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta,0.7571428571428571
Aan Aur Shaan,1984,130,Drama,6.4,37,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor,0.8409090909090909
Aan Milo Sajna,1970,177,"Drama, Musical, Romance",6.4,211,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna,4.0576923076923075
Aan: Men at Work,2004,149,"Action, Crime, Drama",5.7,2907,Madhur Bhandarkar,Akshay Kumar,Shatrughan Sinha,Sunil Shetty,8.651785714285714
Aanch,2003,160,Drama,5.6,102,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer,0.2869198312236287
Aanchal,1980,138,"Action, Drama, Family",6.4,58,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha,1.3181818181818181
Aandhi,1975,133,"Drama, Romance",8.1,1406,Gulzar,Suchitra Sen,Sanjeev Kumar,Om Shivpuri,25.107142857142858
Aandhi-Toofan,1985,144,Drama,6.1,49,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa,0.9074074074074074
Aandhiyan,1952,136,Drama,7.4,30,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik,0.4225352112676056
Aandhiyan,1990,145,Drama,4.8,38,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree,0.4634146341463415
Aani Maani,2019,94,Drama,6.6,15,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh,0.048701298701298704
Aankhen,1993,170,"Action, Comedy, Crime",6.7,1898,David Dhawan,Govinda,Chunky Panday,Raj Babbar,10.784090909090908
Aankhen,2002,165,"Crime, Drama, Thriller",7.4,12574,Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen,28.287964004499436
Aankhon Aankhon Mein,1972,154,"Drama, Romance",6.4,28,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev,0.8484848484848485
Aansoo Aur Muskan,1970,150,"Comedy, Drama, Family",6.5,24,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep,0.46153846153846156
Aao Pyaar Karen,1994,141,Romance,4.2,160,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali,0.6680584551148225
Aao Wish Karein,2009,140,"Comedy, Family, Fantasy",5.1,584,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri,1.6404494382022472
